start	end	text
0	29000	Tickle, tickle, tickle, tickle, tickle, tickle, tickle, tickle, tickle, tickle, tickle, tickle, tickle, tickle, tickle, tickle, tickle, tickle.
30000	45000	Shhhva, shhhva, shhhva, shhhva, shhhva, shhhva, shhva, shhhva, shhhva, shhhva, shhhva, shhhva, shhhva,
46000	52000	tickle tickle, tickle tick, tickle, tickle, tickle, tickle, tickle, tickle, tickle, tickle, tickle, tickle, tickle, tick,
52000	54000	What?
54000	58000	All right, all right, all right, all right.
58000	63000	Let's get back on track.
63000	68000	What was the video about again?
72000	74000	All right.
76000	80000	Hey, love. Hey, love.
80000	87000	It's just me and you now.
87000	95000	Yes, I'm so glad to see your beautiful face that I can't help but...
101000	105000	It's our world tradition at this point, you know?
105000	122000	And I do know it can be quite, indeed, a little startling, especially seeing me like this.
122000	143000	But babe, it's still me, your boyfriend after all, your protector, your, well, your werewolf in simple words, and only yours.
144000	164000	Sweetheart, you know, I remember the first time I showed you this side of me, I was quite nervous, so nervous actually, so nervous.
164000	189000	I was worried that you'd be scared, that you'd see me as some kind of monster, but you elected me with those most beautiful, beautiful, beautiful, beautiful eyes.
189000	211000	Those beautiful, gorgeous, stunning eyes, simply full of understanding, and on your right hand and there, that I had nothing to fear.
211000	230000	You know, I've had my fair share of ups and downs throughout my whole journey of life, and even in moments like these, you've always seen the real me.
230000	244000	You know, beyond the fur, the sharp claws, the teeth, well, you've seen my heart.
244000	256000	Tonight feels a little different though. There's something on your mind, isn't there? There's something on your mind.
256000	275000	I can sense it. I can sure sense it. I can feel it. It's the werewolf senses, you know, there is no hiding, there is no hiding here.
275000	295000	There is no lying, there is no hiding. My werewolf senses show it all. For example, I can tell that your heartbeat is a bit faster than usual.
295000	314000	You're breathing a little shallow, and not just because of the werewolf senses, but I can tell from my own personal experience.
314000	341000	A little shallow. I know from personal experience, as a werewolf like me, you might think we have it fine and dandy, but a werewolf like myself, I can still struggle with anxiety, and I know how debilitating it can be.
341000	357000	It sucks. So you don't have to tell me everything. You don't have to tell me anything at all, quite a fact. You don't have to say anything at all. Nothing at all.
357000	380000	But if you do, I'm here to listen. If you want to talk, whatever you feel most comfortable with, do so, okay? And whatever it is, it's going to be okay.
380000	407000	You're safe here with me. You're safe here with me, sweetheart. Everything is going to be alright. Everything is going to be okay. Trust me on that. I will make sure that it will be. You can trust me, babe.
407000	436000	No one needs anything from you at this moment. No one wants anything at all from you. No, no, no, no, no, no, no, no, no, no. Everything is okay in this moment. It's going to be okay. I know, I know.
437000	464000	I know this world can be quite overwhelming sometimes. There is just so much going on, so much noise, so many expectations, so many challenges. The list just goes on and on and on.
465000	491000	It feels like you're being pulled in so many different directions all at once. Kind of like a never-ending song. A never-ending song from a broken record going on and on and on and on and on and on and on and on.
491000	512000	But right now, I would like for you to just forget about that. I would like for you to just simply let all of that disappear.
512000	541000	None of that matters right here in this very present moment in time. It does not matter. All that matters is that you and me, in this moment that we have together, that we're sharing it, that we are together.
542000	551000	Or, as I would say in Italian, siamo insieme. We are together.
551000	579000	You know, I've always admired your strength. The way you handle everything, life throws you away. It's so inspiring. But even the strongest people need a break.
581000	601000	They need someone they can lean on. So let me be that for you. Just for tonight, at least. Just for tonight. Just for this one time, okay?
601000	621000	Let me be that someone you can lean on. You don't have to carry everything on your own. You don't have to. We have this false presumption of life that we have to do everything on our own.
